Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
151,tt0084489,2014-01-15,2014-01-15,"fairly unknown Olympic boycott film was among the first to sympathetically address a Lesbian relationship","Personal Best","Personal Best",https://www.imdb.com/title/tt0084489/,Movie,6.3,128,1982,"Drama, Sport",3431,1982-06-26,"Robert Towne",,
152,tt0084565,2013-08-15,2013-08-15,"Fassbender's adaptation of Genet's most explicit novel doesn't shy away from sexually charged imagery, but doesn't succeed in capturing its atmosphere.","Querelle","Querelle",https://www.imdb.com/title/tt0084565/,Movie,6.6,108,1982,"Drama",8243,1982-09-08,"Rainer Werner Fassbinder",,
153,tt0084865,2013-10-03,2013-10-03,"now can this brillliant gender-bending musical featuring everybody involved at their absolute peak be called 'gay-related'? Robert Preston's Toddy is still the best gay character coming out of Hollywood for me, but some of my friends feel it's all a bit too gaudy, merry and superficial. To each his own - it's one of my all-time favorites.","Victor/Victoria","Victor/Victoria",https://www.imdb.com/title/tt0084865/,Movie,7.6,134,1982,"Comedy, Music, Romance",24888,1982-03-19,"Blake Edwards",,
154,tt0085461,2013-08-15,2013-08-15,"Tom Courtenay won the Golden Globe for his the title-giving performance of an effeminate, but by no means weak attendant.","The Dresser","The Dresser",https://www.imdb.com/title/tt0085461/,Movie,7.5,118,1983,"Drama",6020,1983-12-06,"Peter Yates",,
155,tt0085370,2016-10-27,2016-10-27,"well-done period-drama bisexual love story based on the director's parents and her mother's lover","Entre Nous","Coup de foudre",https://www.imdb.com/title/tt0085370/,Movie,7.0,110,1983,"Biography, Drama, Romance, War",2416,1983-04-06,"Diane Kurys",,
156,tt0086543,2013-08-15,2013-08-15,"Paul Verhoeven's thriller is the best adaptation of a Gerard Reve novel, and is playing with sexual identity like many '80s films.","The 4th Man","De vierde man",https://www.imdb.com/title/tt0086543/,Movie,7.1,102,1983,"Drama, Mystery, Thriller",9022,1983-03-24,"Paul Verhoeven",,
157,tt0085701,2013-10-18,2013-10-18,"It's a bit exploitative on the gay angle - however, not offensively so, like 'Basic Instinct' for instance. However, it was the first film involving Lesbian sex between A-list actresses, sparking the L-themed magazine Deneuve - which had to change its name to Curve following a lwasuit by the actress, though.","The Hunger","The Hunger",https://www.imdb.com/title/tt0085701/,Movie,6.6,97,1983,"Drama, Horror",30675,1983-04-29,"Tony Scott",,
158,tt0085838,2013-10-22,2013-12-30,"serious coming-out drama was among the first realistic Lesbian-themed films in the US.","Lianna","Lianna",https://www.imdb.com/title/tt0085838/,Movie,6.9,110,1983,"Drama, Romance",1897,1983-09-08,"John Sayles",,
159,tt0086377,2013-10-14,2013-10-14,"less focus on the gay topic rather than examining psychological insecurities - as so often in Altman films. '3 Women' (1977) may carry a much stronger gay content but it's such a difficult film that I dare not interpret it in that context.","Streamers","Streamers",https://www.imdb.com/title/tt0086377/,Movie,6.5,118,1983,"Crime, Drama, War",2212,1983-10-14,"Robert Altman",,
160,tt0083949,2014-01-15,2014-01-15,"unconvincing sensationalist character study features 'Törless' actor Mathieu Carrière as a bisexual hustler - in an example of how this subject shouldn't be handled","A Woman in Flames","Die flambierte Frau",https://www.imdb.com/title/tt0083949/,Movie,5.9,106,1983,"Drama",673,1983-06-10,"Robert van Ackeren",,
161,tt0084085,2013-08-15,2013-12-30,"tough one-sided gay romance memorable for its explicit eroticism and Jean-Hugues Anglade's debut performance.","The Wounded Man","L'homme blessé",https://www.imdb.com/title/tt0084085/,Movie,6.6,109,1983,"Crime, Drama, Romance",1420,1985-01-11,"Patrice Chéreau",,
162,tt0086904,2013-10-03,2013-12-30,"adaptation of a play indicting the British private school system based on a true story, the film is memorable for its performances by future stars Rupert Everett, Cary Elwes and Colin Firth.","Another Country","Another Country",https://www.imdb.com/title/tt0086904/,Movie,7.0,90,1984,"Biography, Drama, Romance",7545,1984-06,"Marek Kanievska",,
163,tt0087696,2013-08-15,2013-08-15,"very interesting depiction of Cuban 'penitentiary reform' of homosexuals wondering why this is such a big issue for Castro","Improper Conduct","Mauvaise conduite",https://www.imdb.com/title/tt0087696/,Movie,7.9,112,1984,"Documentary",133,1984-03-21,"Néstor Almendros, Orlando Jiménez Leal",,
164,tt0088782,2016-10-27,2016-10-27,"it's a classic","Before Stonewall","Before Stonewall",https://www.imdb.com/title/tt0088782/,Movie,7.5,87,1984,"Documentary, History",1260,1985-06-27,"Greta Schiller, Robert Rosenberg",,
165,tt0088297,2016-10-27,2016-10-27,"another French young man of ambiguous sexuality movie","The Cheat","La triche",https://www.imdb.com/title/tt0088297/,Movie,6.6,104,1984,"Crime, Drama, Thriller",249,1984-08-08,"Yannick Bellon",,
166,tt0087676,2016-10-27,2016-10-27,"weird fictitious biopic/homage to Fassbender","A Man Like Eva","Ein Mann wie EVA",https://www.imdb.com/title/tt0087676/,Movie,5.8,92,1984,"Biography, Drama",141,1985-06-26,"Radu Gabrea",,
167,tt0088275,2013-08-15,2013-08-15,"groundbreaking Oscar-winning docu about the first gay-rights activist to hold political office.","The Times of Harvey Milk","The Times of Harvey Milk",https://www.imdb.com/title/tt0088275/,Movie,8.2,90,1984,"Documentary, Biography, History",6920,1985-09-20,"Rob Epstein",,
168,tt0088722,2016-10-27,2016-10-27,"one of the lesser, more experimental Jarmans","The Angelic Conversation","Angelic Conversation",https://www.imdb.com/title/tt0088722/,Movie,6.1,77,1985,"Drama, Romance",959,1987-02-28,"Derek Jarman",,
