"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
10930,"tt9900092","2023-07-29","2023-07-29","","Motherland: Fort Salem","Motherland: Fort Salem","https://www.imdb.com/title/tt9900092/","TV Series","7.3","42","2020","Drama, Fantasy, Sci-Fi, Thriller","19655","2020-03-18","",NA,NA
10931,"tt13111078","2023-10-10","2023-10-10","","Lioness","Lioness","https://www.imdb.com/title/tt13111078/","TV Series","7.8","42","2023","Action, Drama, Thriller","76519","2023-07-23","",NA,NA
10932,"tt10229982","2023-11-24","2023-11-24","","My First Summer","My First Summer","https://www.imdb.com/title/tt10229982/","Movie","6.7","80","2020","Drama, Romance","3340","2021-03-02","Katie Found",NA,NA
10933,"tt8522006","2023-12-26","2023-12-26","","Happiest Season","Happiest Season","https://www.imdb.com/title/tt8522006/","Movie","6.6","102","2020","Comedy, Romance","51000","2020-11-25","Clea DuVall",NA,NA
10934,"tt15483276","2024-01-16","2024-01-16","","Harlan Coben's Shelter","Harlan Coben's Shelter","https://www.imdb.com/title/tt15483276/","TV Mini Series","6.6",NA,"2023","Crime, Drama, Mystery, Thriller","11458","2023-08-18","",NA,NA
10935,"tt0421994","2024-01-30","2024-01-30","","Imagine Me & You","Imagine Me & You","https://www.imdb.com/title/tt0421994/","Movie","6.8","90","2005","Comedy, Drama, Romance","38211","2006-05-25","Ol Parker",NA,NA
10936,"tt30176429","2024-08-17","2024-08-17","","The Secret of Us","The Secret of Us","https://www.imdb.com/title/tt30176429/","TV Mini Series","8.3",NA,"2024","Drama, Romance","2456","2024-06-24","",NA,NA
10937,"tt24657706","2024-08-17","2024-08-17","","23.5","23.5","https://www.imdb.com/title/tt24657706/","TV Mini Series","8",NA,"2024","Comedy, Romance","1423","2024-03-08","",NA,NA
10938,"tt6800566","2024-08-18","2024-08-18","","Polarized","Polarized","https://www.imdb.com/title/tt6800566/","Movie","6.2","104","2023","Drama, Romance","715","2023-06-23","Shamim Sarif",NA,NA
10939,"tt22072834","2025-03-08","2025-03-08","","My Tooth Your Love","My Tooth Your Love","https://www.imdb.com/title/tt22072834/","TV Mini Series","7.7","35","2022","Drama, Romance","642","2022-10-14","",NA,NA
10940,"tt2402927","2023-01-16","2023-01-16","","Carol","Carol","https://www.imdb.com/title/tt2402927/","Movie","7.3","118","2015","Drama, Romance","149704","2016-01-15","Todd Haynes",NA,NA
10941,"tt15420598","2023-01-16","2023-01-16","","Anne+","Anne+","https://www.imdb.com/title/tt15420598/","Movie","6.2","94","2021","Drama","2277","2022-02-11","Valerie Bisscheroux",NA,NA
10942,"tt14967472","2023-03-30","2023-03-30","","Of an Age","Of an Age","https://www.imdb.com/title/tt14967472/","Movie","7.1","100","2022","Drama, Romance","4949","2023-04-07","Goran Stolevski",NA,NA
10943,"tt6958014","2023-04-11","2023-04-11","","Duck Butter","Duck Butter","https://www.imdb.com/title/tt6958014/","Movie","5.2","93","2018","Comedy, Drama, Romance","4926","2018-04-27","Miguel Arteta",NA,NA
10944,"tt5073620","2023-04-14","2023-04-14","","Below Her Mouth","Below Her Mouth","https://www.imdb.com/title/tt5073620/","Movie","5.5","94","2016","Drama, Romance","15425","2017-04-28","April Mullen",NA,NA
10945,"tt10098620","2023-07-16","2023-07-16","","Feel Good","Feel Good","https://www.imdb.com/title/tt10098620/","TV Series","7.5",NA,"2020","Comedy, Drama, Romance","14616","2020-03-19","",NA,NA
10946,"tt8050586","2023-07-16","2023-07-16","","The Bisexual","The Bisexual","https://www.imdb.com/title/tt8050586/","TV Series","6.5","40","2018","Comedy, Drama, Romance","1494","2018-11-16","",NA,NA
10947,"tt14444726","2023-07-16","2023-07-16","","Tár","Tár","https://www.imdb.com/title/tt14444726/","Movie","7.4","158","2022","Drama, Music","105051","2022-10-28","Todd Field",NA,NA
10948,"tt11169050","2023-07-16","2023-07-16","","Supernova","Supernova","https://www.imdb.com/title/tt11169050/","Movie","6.9","95","2020","Drama, Romance","15644","2021-01-29","Harry Macqueen",NA,NA
10949,"tt7008872","2023-07-16","2023-07-16","","Boy Erased","Boy Erased","https://www.imdb.com/title/tt7008872/","Movie","6.9","115","2018","Biography, Drama","45395","2018-11-08","Joel Edgerton",NA,NA
10950,"tt4975722","2023-07-16","2023-07-16","","Moonlight","Moonlight","https://www.imdb.com/title/tt4975722/","Movie","7.4","111","2016","Drama","343800","2016-11-18","Barry Jenkins",NA,NA
10951,"tt4538072","2023-07-16","2023-07-16","","Black Mirror: San Junipero","Black Mirror: San Junipero","https://www.imdb.com/title/tt4538072/","TV Episode","8.5","61","2016","Crime, Drama, Mystery, Sci-Fi, Thriller","73691","2016-10-21","Owen Harris",NA,NA
